Text_A,Text_B,Text_A_token,Text_B_token,Label
một người đàn ông đang cưỡi trên một con ngựa,một người đàn ông đang nói chuyện điện thoại,một người đàn_ông đang cưỡi trên một con ngựa,một người đàn_ông đang nói_chuyện điện_thoại,0
một người đàn ông đang đi xe đạp,một người đàn ông đang cưỡi trên một con ngựa,một người đàn_ông đang đi xe_đạp,một người đàn_ông đang cưỡi trên một con ngựa,1
một người phụ nữ đang nhảy múa,một người đàn ông đang ăn,một người phụ_nữ đang nhảy_múa,một người đàn_ông đang ăn,0
một người đàn ông đang chơi piano,một người đàn ông đang thổi sáo,một người đàn_ông đang chơi piano,một người đàn_ông đang thổi sáo,1
một người đàn ông đang thổi sáo,một người đàn ông đang chơi piano,một người đàn_ông đang thổi sáo,một người đàn_ông đang chơi piano,1
một người đàn ông đang quay,một người đàn ông đang nhảy múa,một người đàn_ông đang quay,một người đàn_ông đang nhảy_múa,1
một con khỉ đang đung đưa từ chân tay này sang chi khác,một con khỉ đang đu từ cây này sang cây khác,một con khỉ đang đung_đưa từ chân tay này sang chi khác,một con khỉ đang đu từ cây này sang cây khác,0
mọi người xuống tàu,mọi người xuống tàu tại nhà ga,mọi người xuống tàu,mọi người xuống tàu tại nhà_ga,1
một đang nhảy trên tấm bạt lò xo,một nảy trên tấm bạt lò xo,một đang nhảy trên tấm bạt lò_xo,một nảy trên tấm bạt lò_xo,1
một cậu bé đang chơi một nhạc cụ,một người đàn ông đang chơi kèn,một cậu bé đang chơi một nhạc_cụ,một người đàn_ông đang chơi kèn,0
một người phụ nữ chơi guitar,một người đàn ông hát và chơi guitar,một người phụ_nữ chơi guitar,một người đàn_ông hát và chơi guitar,0
một người phụ nữ đang chọn một lon,một người phụ nữ đang cắt một quả cà chua,một người phụ_nữ đang chọn một lon,một người phụ_nữ đang cắt một quả cà_chua,1
một người đàn ông đang trèo lên một sợi dây,một người đàn ông trèo lên một sợi dây,một người đàn_ông đang trèo lên một sợi dây,một người đàn_ông trèo lên một sợi dây,1
một người đàn ông đang nâng một chiếc xe hơi,một người đàn ông đang trèo tường,một người đàn_ông đang nâng một chiếc xe_hơi,một người đàn_ông đang trèo tường,1
một người đàn ông và một người phụ nữ đang lái xe jeep xuống phố,một người đàn ông và một phụ nữ đang lái xe trên đường trong một chiếc xe ngoài trời,một người đàn_ông và một người phụ_nữ đang lái xe_jeep xuống phố,một người đàn_ông và một phụ_nữ đang lái_xe trên đường trong một chiếc xe ngoài_trời,1
người đàn ông cởi trần ngồi trên ghế,một người đàn ông cởi trần đang ngồi trên ghế,người đàn_ông cởi trần ngồi trên ghế,một người đàn_ông cởi trần đang ngồi trên ghế,1
hai người phụ nữ đang đấu vật,hai người phụ nữ đang vật lộn trên sàn nhà,hai người phụ_nữ đang đấu_vật,hai người phụ_nữ đang vật_lộn trên sàn nhà,1
con chơi với một quả bóng tennis màu xanh,một con đang chơi với một quả bóng tennis,con chơi với một quả bóng tennis màu xanh,một con đang chơi với một quả bóng tennis,1
một con kangroo đang ăn một cái gì đó,một con kangaroo đang ăn,một con kangroo đang ăn một cái gì đó,một con kangaroo đang ăn,0
một con mèo đang chơi piano,một người đàn ông đang chơi guitar,một con mèo đang chơi piano,một người đàn_ông đang chơi guitar,0
người đàn ông dùng dao cắt một ít thảm,một người đàn ông đang cắt thảm bằng dao,người đàn_ông dùng dao cắt một_ít thảm,một người đàn_ông đang cắt thảm bằng dao,0
một người phụ nữ đang đi xe tay ga có động cơ xuống đường,một người đàn ông đang đi xe máy,một người phụ_nữ đang đi xe tay ga có động_cơ xuống_đường,một người đàn_ông đang đi xe_máy,0
ai đó đang cắt một loại rau,ai đó đang cắt một quả cà chua,ai đó đang cắt một loại rau,ai đó đang cắt một quả cà_chua,1
một người phụ nữ đang nhảy múa,một người đàn ông đang nói,một người phụ_nữ đang nhảy_múa,một người đàn_ông đang nói,0
một liếm nước dãi của em bé,một liếm một em bé,một liếm nước_dãi của em bé,một liếm một em bé,1
một người đàn ông đang chèo thuyền,một người đàn ông đang cắt một quả cà chua,một người đàn_ông đang chèo thuyền,một người đàn_ông đang cắt một quả cà_chua,1
một người đàn ông cắt khoai tây,một người đàn ông cắt khoai tây,một người đàn_ông cắt khoai_tây,một người đàn_ông cắt khoai_tây,1
một người phụ nữ đang băm tỏi,người phụ nữ đang thái tỏi,một người phụ_nữ đang băm tỏi,người phụ_nữ đang thái_tỏi,1
một con vật chạy theo vòng tròn,một con sóc chạy theo vòng tròn,một con vật chạy theo vòng_tròn,một con sóc chạy theo vòng_tròn,1
một người đàn ông đang chậm rãi đi qua một cây cầu dây,một cậu bé đang đi bộ qua một cây cầu,một người đàn_ông đang chậm_rãi đi qua một cây cầu dây,một cậu bé đang đi bộ qua một cây cầu,0
một người đàn ông đang chơi guitar,một người đàn ông ngồi trong phòng đang chơi guitar,một người đàn_ông đang chơi guitar,một người đàn_ông ngồi trong phòng đang chơi guitar,1
một người đàn ông thổi sáo,một người đàn ông đang thổi sáo,một người đàn_ông thổi sáo,một người đàn_ông đang thổi sáo,1
một người phụ nữ đập hai quả trứng vào bát thủy tinh,một người phụ nữ đang đập một quả trứng vào bát,một người phụ_nữ đập hai quả trứng vào bát thủy_tinh,một người phụ_nữ đang đập một quả trứng vào bát,1
một người đàn ông đang cắt một con cá,một người đàn ông rút ruột một con cá,một người đàn_ông đang cắt một con cá,một người đàn_ông rút_ruột một con cá,1
hai người đàn ông đang đóng gói vali vào cốp xe,những người đàn ông đang đặt vali vào cốp xe,hai người đàn_ông đang đóng_gói vali vào cốp xe,những người đàn_ông đang đặt vali vào cốp xe,1
một người đàn ông đổ dầu lên một ít cà chua,người đàn ông đổ dầu lên cà chua đã cắt,một người đàn_ông đổ dầu lên một_ít cà_chua,người đàn_ông đổ dầu lên cà_chua đã cắt,1
một người đàn ông đang cắt một cái gì đó,một người đàn ông đang cắt một chiếc bánh,một người đàn_ông đang cắt một cái gì đó,một người đàn_ông đang cắt một chiếc bánh,1
một người đàn ông đang chèo xuồng,một người đàn ông đang chơi đàn hạc,một người đàn_ông đang chèo xuồng,một người đàn_ông đang chơi đàn hạc,1
một người đàn ông và một người phụ nữ đang đi bộ cùng nhau trong rừng,một người đàn ông và một người phụ nữ đang tay trong tay đi qua một khu rừng,một người đàn_ông và một người phụ_nữ đang đi bộ cùng nhau trong rừng,một người đàn_ông và một người phụ_nữ đang_tay trong tay đi qua một khu rừng,1
người phụ nữ nhặt con kangaroo lên,một người phụ nữ nhặt một con kangaroo con,người phụ_nữ nhặt con kangaroo lên,một người phụ_nữ nhặt một con kangaroo con,1
cá đang bơi,một con cá đang bơi,cá đang bơi,một con cá đang bơi,1
hai người phụ nữ trộn một cái gì đó trong một bộ xử lý thực phẩm,hai người phụ nữ làm một cái gì đó trong máy xay,hai người phụ_nữ trộn một cái gì đó trong một bộ xử_lý thực_phẩm,hai người phụ_nữ làm một cái gì đó trong máy_xay,1
một người đang lướt một con sóng lớn,một người đang lướt sóng,một người đang lướt một con sóng lớn,một người đang lướt_sóng,1
một người đàn ông đang chơi guitar,một người đàn ông đang đâm một mục tiêu,một người đàn_ông đang chơi guitar,một người đàn_ông đang đâm một mục_tiêu,1
một người đàn ông đang thổi sáo trong một ban nhạc,một người đàn ông đang chơi guitar,một người đàn_ông đang thổi sáo trong một ban nhạc,một người đàn_ông đang chơi guitar,1
người đàn ông phết bơ lên ổ bánh mì,một người đàn ông đang phết bơ lên bánh mì,người đàn_ông phết bơ lên ổ bánh_mì,một người đàn_ông đang phết bơ lên bánh_mì,1
một người đang luộc mì,một người phụ nữ đang luộc mì trong nước,một người đang luộc mì,một người phụ_nữ đang luộc mì trong nước,1
một nhóm người nhảy múa trên một ngọn đồi,một nhóm người đang nhảy múa,một nhóm người nhảy_múa trên một ngọn đồi,một nhóm người đang nhảy_múa,1
một người đàn ông đang nhảy múa bên ngoài,một người đàn ông đang thổi sáo,một người đàn_ông đang nhảy_múa bên ngoài,một người đàn_ông đang thổi sáo,1
một người phụ nữ đang cho một người đàn ông ăn,một người phụ nữ đang trộn thịt,một người phụ_nữ đang cho một người đàn_ông ăn,một người phụ_nữ đang trộn thịt,1
một người đàn ông đang đặt chảo vào lò nướng,một người phụ nữ đang cắt một củ hành tây,một người đàn_ông đang đặt chảo vào lò nướng,một người phụ_nữ đang cắt một củ hành_tây,0
một người phụ nữ đang ngồi ở bàn làm việc,một người phụ nữ đang cưỡi lừa,một người phụ_nữ đang ngồi ở bàn làm_việc,một người phụ_nữ đang cưỡi lừa,1
nhân viên y tế vận chuyển một bệnh nhân trên cáng,một bác sĩ đưa bệnh nhân lên cáng,nhân_viên y_tế vận_chuyển một bệnh_nhân trên cáng,một bác_sĩ đưa bệnh_nhân lên cáng,0
một người phụ nữ đang thổi sáo trên sân khấu,người phụ nữ đang thổi sáo,một người phụ_nữ đang thổi sáo trên sân_khấu,người phụ_nữ đang thổi sáo,1
hai chú gấu trúc con đang chơi đùa,hai con gấu trúc đang nằm cùng nhau,hai chú gấu_trúc con đang chơi_đùa,hai con gấu_trúc đang nằm cùng nhau,0
một đứa bé đang cười,một em bé đang cười và cười khúc khích,một đứa bé đang cười,một em bé đang cười và cười khúc_khích,0
một người đàn ông đang chơi guitar,một cậu bé đang chơi piano,một người đàn_ông đang chơi guitar,một cậu bé đang chơi piano,0
một người đàn ông đang gấp giấy,một người phụ nữ đang cắt một hạt tiêu,một người đàn_ông đang gấp giấy,một người phụ_nữ đang cắt một hạt_tiêu,0
